X,Y,Z,azimuth,dip,polarity,formation
417111.0642,5206545.957,-134.1973567,153.6223424,1.123302714,1,UFM
417726.9504,5205304.046,-119.4762387,-26.37765764,2.652733625,1,UFM
418188.0475,5204374.262,-53.23120764,-26.37765764,5.225927409,1,UFM
418569.57,5203604.937,96.43349215,-26.37765764,13.89119117,1,UFM
418954.3626,5202829.017,354.0530574,-26.37765764,45.45797901,1,UFM
419500,5202400,450,-26.377,55,1,UFM
473000,5230000,400,-26,45,1,UFM
452258.4645,5230973.897,-111.9390317,161.3440227,0.906503144,1,UFM
454074.5529,5225594.89,-175.443665,161.3440227,0.341042279,1,UFM
455327.9382,5221882.532,-159.5675067,-18.65597731,1.453895465,1,UFM
455868.2956,5220282.067,-0.805923379,-18.65597731,16.16449915,1,UFM
456077.5317,5219662.338,348.4695599,-18.65597731,45.83031549,1,UFM
440000,5214000,300,-18.65597731,45.83031549,1,UFM
440000,5220000,0,-18.65,1,1,UFM
413000,5200000,450,-26.377,55,1,UFM
447000,5212000,450,-26.377,55,1,UFM
432000,5210000,450,-26.377,55,1,UFM
442000,5214000,450,-26.377,55,1,UFM
480000,5233000,400,-26,45,1,UFM
417740,5205277,-811.3687853,-26,0.42,1,UMM
459933.6722,5208240.973,-1172.466408,161.3440227,25.20112365,1,LFM
460640.0981,5206148.635,-2109.159749,161.3440227,20.90026324,1,LFM
461230.2252,5204400.758,-2850.576343,161.3440227,23.53234856,1,LFM
420287.511,5200140.776,-3241.580017,153.6223424,21.69843372,1,LFM
420100.02,5200518.844,-3657.451601,153.6223424,9.403132374,1,LFM
419015.4062,5202705.925,-2596.304344,153.6223424,9.149355788,1,LFM
419405.6491,5201919.016,-2754.556363,153.6223424,11.67673783,1,LFM
419797.5272,5201128.809,-2918.942181,153.6223424,9.750349609,1,LFM
420467.3716,5199778.094,-3789.941663,153.6223424,0,1,LFM
418613.1725,5203517.014,-2476.081881,153.6223424,5.499105524,1,LFM
462506.6486,5200620.166,-3144.531334,161.3440227,0.151575783,1,LFM
419388.2081,5201954.185,-3426.820752,153.6223424,0,1,LFM
417368.3193,5206027.212,-2482.21568,-26.37765764,0.507029061,1,LFM
470001,5231440,-2000,161.3440227,1.184240213,1,LFM
450000,5183000,-4000,160,0,1,LFM
445000,5182000,-4000,160,0,1,LFM
449000,5209800,-4000,160,0,1,LFM
460000,5208500,-4000,160,0,1,LFM
423793.7022,5193070.678,-39,153.6223424,66.83706336,1,helvetic
423994.274,5192666.233,-702,153.6223424,36.96055545,1,helvetic
424246.0788,5192158.479,-1126,153.6223424,36.72860131,1,helvetic
424534.9458,5191575.99,-1502,153.6223424,22.529398,1,helvetic
424902.2974,5190835.239,-1767,153.6223424,14.43597498,1,helvetic
425355.7641,5189920.842,-1904,153.6223424,1.070824455,1,helvetic
425637.0006,5189353.739,-1921,153.6223424,3.900493742,1,helvetic
460399.8579,5206860.194,216,161.3440227,29.5511367,1,helvetic
460720.4668,5205910.594,-194,161.3440227,16.26964699,1,helvetic
461125.4465,5204711.099,-567,161.3440227,16.53193062,1,helvetic
461468.0311,5203696.41,-819,161.3440227,7.056096038,1,helvetic
461747.0433,5202870.013,-915,161.3440227,5.654420823,1,helvetic
462199.1137,5201531.042,-959,-18.65597731,0.306391622,1,helvetic
462796.3803,5199762.019,-974,161.3440227,1.184240213,1,helvetic
459000,5208100,1000,161,33,1,helvetic
490500,5221400,800.1,161.3440227,32,1,helvetic
487000,5218000,-567,161.3440227,20,1,helvetic
488000,5208001,-2690,160,0,1,helvetic
489000,5190000,-2000,160,0,1,helvetic
450000,5204861,200,160,30,1,helvetic
450000,5204840,500,160,35,1,helvetic
440000,5205000,-4782,161,0,1,mesozoic
430000,5220000,-4782,161,0,1,mesozoic
491000,5231010,-4500,161.3440227,0,1,mesozoic
