X,Y,Z,formation
416777.5046,5207218.566,-119.4762387,UFM
417444.6238,5205873.347,-148.9184747,UFM
418009.277,5204734.746,-90.03400268,UFM
418366.818,5204013.778,-16.42841261,UFM
418772.3219,5203196.095,209.2953969,UFM
419136.4033,5202461.939,498.8107178,UFM
453221.357,5228121.94,-159.5675067,UFM
454927.7487,5223067.839,-191.3198233,UFM
455728.1277,5220697.225,-127.81519,UFM
456008.4635,5219866.909,126.2033433,UFM
456146.5999,5219457.767,570.7357765,UFM
457159,5223978,0,UFM
470000,5230000,0,UFM
457186,5230855,0,UFM
430000,5220000,0,UFM
440000,5214000,500,UFM
412500,5200000,500,UFM
440000,5220000,0,UFM
435000,5211000,500,UFM
473000,5231000,500,UFM
445000,5216000,500,UFM
412500,5200000,1502,UFM
475000,5221000,300,UMM
453217.2942,5228133.974,-807,UMM
455212.1473,5222225.489,-864,UMM
455833.7615,5220384.352,-705,UMM
456248.1709,5219156.928,-305,UMM
456491.9411,5218434.913,227,UMM
456563.0408,5218224.326,570,UMM
417145.9462,5206475.618,-821,UMM
418334.1161,5204079.72,-801,UMM
419195.2668,5202343.244,-566,UMM
420285.3309,5201145.172,120,UMM
457159,5223978,-879,UMM
425000,5205000,500,UMM
485000,5234000,900,UMM
448000,5216400,900,UMM
470000,5227000,900,UMM
454486.2041,5224375.635,-2072.942499,LFM
454997.5763,5222861.019,-2182.770821,LFM
456449.7174,5218559.974,-2463.443199,LFM
457007.9329,5216906.616,-2548.865227,LFM
457612.9917,5215114.514,-2597.677815,LFM
457925.2801,5214189.558,-2622.084108,LFM
455918.3392,5220133.845,-1505.496169,LFM
456313.5792,5218963.197,-1474.988302,LFM
456565.8496,5218216.006,-1529.902463,LFM
456762.0058,5217635.018,-1581.765837,LFM
457158.2217,5216461.481,-1615.324491,LFM
457629.582,5215065.375,-2042.434632,LFM
457907.7139,5214241.587,-2426.833758,LFM
458339.0622,5212963.991,-2875.299406,LFM
459066.1087,5210810.578,-3061.397396,LFM
459437.9271,5209709.303,-3104.10841,LFM
459738.5047,5208819.032,-3027.838742,LFM
457081.1255,5216689.829,475.989805,LFM
457215.7999,5216290.942,56.50663108,LFM
457382.1911,5215798.114,-309.5877752,LFM
457627.1423,5215072.602,-526.1936323,LFM
458054.587,5213806.568,-1087.538389,LFM
458229.2734,5213289.171,-1410.921781,LFM
458355.1646,5212916.298,-1508.546956,LFM
458546.4413,5212349.763,-1532.95325,LFM
458954.368,5211141.539,-1712.949666,LFM
459171.994,5210496.96,-1984.469684,LFM
459550.6437,5209375.451,-2680.049056,LFM
459763.3901,5208745.325,-2957.670648,LFM
459976.1366,5208115.199,-3027.838742,LFM
460428.9548,5206774.013,-3110.209983,LFM
460819.3153,5205617.818,-3247.495386,LFM
461254.5673,5204328.661,-3262.749319,LFM
458159.7359,5213495.132,545.3339231,LFM
458457.3387,5212613.672,100.8014899,LFM
458946.9106,5211163.627,-102.4133367,LFM
459221.1521,5210351.361,-238.9482983,LFM
459596.9646,5209238.255,-677.1302682,LFM
460270.3799,5207243.69,-1667.802548,LFM
461009.8163,5205053.58,-2550.516951,LFM
461450.6342,5203747.937,-3150.635736,LFM
461451.6993,5203744.782,-3143.768637,LFM
462054.8063,5201958.461,-3204.784372,LFM
462414.4259,5200893.317,-3143.768637,LFM
462598.8713,5200347.014,-3145.294031,LFM
463014.6052,5199115.667,-3276.47786,LFM
449000,5209800,-3000,LFM
450000,5183000,-3000,LFM
412500,5206000,-3000,LFM
413000,5195000,-3000,LFM
415000,5195000,-3000,LFM
416000,5198000,-3000,LFM
435000,5208000,-3000,LFM
450000,5209000,-3000,LFM
445000,5208000,-3000,LFM
411000,5195000,-5000,LFM
440000,5181000,-5000,LFM
478000,5227000,-3000,LFM
470000,5221000,-3000,LFM
423703.2269,5193252,437,helvetic
423884.1775,5192887,-514,helvetic
424104.3705,5192443,-887,helvetic
424387.7871,5191871,-1363,helvetic
424682.1044,5191278,-1638,helvetic
425122.4903,5190390,-1893,helvetic
425589.0378,5189449,-1913,helvetic
425684.9634,5189256,-1927,helvetic
460262.1177,5207267,461,helvetic
460537.5981,5206451,-26,helvetic
460903.3356,5205367,-360,helvetic
461347.5575,5204052,-772,helvetic
461588.5047,5203338,-865,helvetic
461905.5819,5202399,-963,helvetic
462492.6455,5200660,-953,helvetic
463100.1151,5198861,-993,helvetic
412100,5188599,1001,helvetic
440000,5200049,1001,helvetic
