fault_1,fault_2,fault_3,fault_4,fault_5,helvetic,UFM,UMM,LFM,mesozoic
-2519.018475,-1416.959246,388.4023327,554.8596181,436.2459663,437,-119.4762387,300,-2072.942499,-4000
-2479.76216,-1563.019903,-379.5493236,200.8212874,-515.7196652,-514,-148.9184747,-807,-2182.770821,-4000
-2283.480587,-1543.968513,-936.4982884,-27.79539254,-888.6546549,-887,-90.03400268,-864,-2463.443199,-4000
-2077.384934,-1505.865733,-1483.633175,-146.86658,-1364.637471,-1363,-16.42841261,-705,-2548.865227,-4000
-1527.796529,-1610.648378,-2325.190421,-211.1650212,-1639.431674,-1638,209.2953969,-305,-2597.677815,-4000
-1066.534831,-1639.225463,-3017.082968,-331.8238245,-1894.597719,-1893,498.8107178,227,-2622.084108,-4000
-359.9211662,-1655.101621,-3770.313506,-728.7277828,-1914.225876,-1913,-159.5675067,570,-1505.496169,-4000
-1328.05276,-2083.757896,-4472.020131,-1446.330139,-1928.946994,-1927,-191.3198233,-821,-1474.988302,-4000
-1429.660173,-2572.743573,-4849.86216,-1954.367206,460.781163,461,-127.81519,-801,-1529.902463,-4000
-1543.968513,-2763.257473,-5060.864852,-2456.053809,-27.46925112,-26,126.2033433,-566,-1581.765837,-5000
-1010.529593,-2972.822763,-5293.94922,-3126.02769,-361.1479261,-360,570.7357765,120,-1615.324491,-5000
-477.0906732,-3045.853091,-5544.208226,-3417.355196,-773.3392304,-772,0,-879,-2042.434632,-5000
564.3853131,-3103.007261,485.0045215,-3437.994202,-866.5729779,-865,0,500,-2426.833758,-5000
1000,-3144.285272,40.47208828,-3480.859829,-964.7137646,-963,0,900,-2875.299406,-5000
1000,-3118.883419,-334.2052483,-3442.757049,-954.8996859,-953,0,900,-3061.397396,-5000
1000,-3061.729249,-556.4714649,263.2728296,-994.1560006,-993,500,900,-3104.10841,-5500
1000,-3093.481566,-800.9643032,-421.259158,1000,1001,500,,-3027.838742,-6000
800,-3169.687126,-1128.013165,-1113.151705,1000,1001,0,,475.989805,-6000
800,-3230.016527,-1439.185868,-1586.681001,1000,1001,500,,56.50663108,-6000
-2000,-3299.871624,-1524.917123,-2149.763765,-3000,-2999,500,,-309.5877752,-6000
700,-3318.923014,-1563.019903,-2628.2001,-3000,-2999,500,,-526.1936323,-6000
700,-3426.880891,-1674.153011,-3148.34627,-3000,-2999,1502,,-1087.538389,-6000
500,-3484.035061,-1759.884266,-3744.551549,1000,1001,300,,-1410.921781,-6000
500,-3442.757049,-2010.727568,-4083.137264,1000,1001,,,-1508.546956,-6000
,-3445.932281,-2347.302124,-4299.046995,-3000,-2999,,,-1532.95325,-6000
,-2548.460711,-2712.453766,-4000,-3000,-2999,,,-1712.949666,-6000
,-2499.390317,-2991.874153,-5000,1000,1001,,,-1984.469684,-6000
,-2455.226963,-3044.265475,-5000,-1200,-1199,,,-2680.049056,-6000
,-2553.36775,-3098.244413,700,-1900,-1899,,,-2957.670648,-6000
,-2842.883071,-3147.460504,500,,,,,-3027.838742,-6000
,-3387.564438,-3176.037589,-5000,,,,,-3110.209983,-6000
,-4133.434417,-3206.20229,-5000,,,,,-3247.495386,-6000
,-4751.721373,-3264.944076,-4500,,,,,-3262.749319,-6000
,-4950.58597,-3282.40785,-4500,,,,,545.3339231,
,-5000.078723,-3296.696392,-4500,,,,,100.8014899,
,-5000.103982,-3407.829501,-4500,,,,,-102.4133367,
,-3142.5,-3477.684597,-4500,,,,,-238.9482983,
,-1500,-3439.581817,-4500,,,,,-677.1302682,
,-4000,-3436.406586,-4500,,,,,-1667.802548,
,-5000,800,-4500,,,,,-2550.516951,
,-5000,-2915.5,-4500,,,,,-3150.635736,
,-1500,1000,-4500,,,,,-3143.768637,
,-1500,1000,-4500,,,,,-3204.784372,
,-5000,1000,-4500,,,,,-3143.768637,
,-5000,800,1000,,,,,-3145.294031,
,-4500,-4000,,,,,,-3276.47786,
,-4500,-5000,,,,,,-3000,
,-4500,800,,,,,,-3000,
,-4500,800,,,,,,-3000,
,-4500,-5000,,,,,,-3000,
,-4500,500,,,,,,-3000,
,-4500,-3000,,,,,,-3000,
,-4500,-3000,,,,,,-3000,
,-4500,500,,,,,,-3000,
,-4500,-5000,,,,,,-3000,
,-4500,-5000,,,,,,-5000,
,-4500,-4500,,,,,,-5000,
,,-4500,,,,,,-3000,
,,-4500,,,,,,-3000,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
,,-4500,,,,,,,
